(0.000000, 0.000000, 0.000000)
(0.035294, 0.035294, 0.000000)
(0.070588, 0.070588, 0.000000)
(0.105882, 0.105882, 0.000000)
(0.141176, 0.141176, 0.000000)
(0.176471, 0.176471, 0.000000)
(0.211765, 0.211765, 0.000000)
(0.247059, 0.247059, 0.000000)
(0.282353, 0.282353, 0.000000)
(0.317647, 0.317647, 0.000000)
(0.352941, 0.352941, 0.000000)
(0.388235, 0.388235, 0.000000)
(0.423529, 0.423529, 0.000000)
(0.458824, 0.458824, 0.000000)
(0.494118, 0.494118, 0.000000)
(0.529412, 0.529412, 0.000000)
(0.564706, 0.564706, 0.000000)
(0.600000, 0.600000, 0.000000)
(0.635294, 0.635294, 0.000000)
(0.670588, 0.670588, 0.000000)
(0.705882, 0.705882, 0.000000)
(0.741176, 0.741176, 0.000000)
(0.780392, 0.780392, 0.000000)
(1.000000, 0.498039, 0.000000)
(0.949020, 0.458824, 0.000000)
(0.898039, 0.423529, 0.000000)
(0.847059, 0.388235, 0.000000)
(0.796078, 0.352941, 0.000000)
(0.745098, 0.317647, 0.000000)
(0.694118, 0.282353, 0.000000)
(0.647059, 0.247059, 0.000000)
(0.596078, 0.211765, 0.000000)
(0.545098, 0.176471, 0.000000)
(0.494118, 0.141176, 0.000000)
(0.443137, 0.105882, 0.000000)
(0.392157, 0.070588, 0.000000)
(0.341176, 0.035294, 0.000000)
(0.294118, 0.000000, 0.000000)
(0.294118, 0.000000, 0.000000)
(0.341176, 0.000000, 0.000000)
(0.392157, 0.000000, 0.000000)
(0.443137, 0.000000, 0.000000)
(0.494118, 0.000000, 0.000000)
(0.541176, 0.000000, 0.000000)
(0.592157, 0.000000, 0.000000)
(0.643137, 0.000000, 0.000000)
(0.694118, 0.000000, 0.000000)
(0.745098, 0.000000, 0.000000)
(0.792157, 0.000000, 0.000000)
(0.843137, 0.000000, 0.000000)
(0.894118, 0.000000, 0.000000)
(0.945098, 0.000000, 0.000000)
(0.996078, 0.000000, 0.000000)
(1.000000, 0.294118, 0.294118)
(0.937255, 0.278431, 0.278431)
(0.874510, 0.262745, 0.262745)
(0.811765, 0.247059, 0.247059)
(0.749020, 0.231373, 0.231373)
(0.690196, 0.215686, 0.215686)
(0.627451, 0.200000, 0.200000)
(0.564706, 0.184314, 0.184314)
(0.501961, 0.168627, 0.168627)
(0.439216, 0.152941, 0.152941)
(0.380392, 0.137255, 0.137255)
(0.317647, 0.121569, 0.121569)
(0.254902, 0.105882, 0.105882)
(0.192157, 0.090196, 0.090196)
(0.133333, 0.074510, 0.074510)
(0.137255, 0.137255, 0.137255)
(0.164706, 0.164706, 0.164706)
(0.196078, 0.196078, 0.196078)
(0.223529, 0.223529, 0.223529)
(0.254902, 0.254902, 0.254902)
(0.282353, 0.282353, 0.282353)
(0.313725, 0.313725, 0.313725)
(0.345098, 0.345098, 0.345098)
(0.372549, 0.372549, 0.372549)
(0.403922, 0.403922, 0.403922)
(0.431373, 0.431373, 0.431373)
(0.462745, 0.462745, 0.462745)
(0.494118, 0.494118, 0.494118)
(0.521569, 0.521569, 0.521569)
(0.552941, 0.552941, 0.552941)
(0.580392, 0.580392, 0.580392)
(0.611765, 0.611765, 0.611765)
(0.639216, 0.639216, 0.639216)
(0.670588, 0.670588, 0.670588)
(0.701961, 0.701961, 0.701961)
(0.729412, 0.729412, 0.729412)
(0.760784, 0.760784, 0.760784)
(0.788235, 0.788235, 0.788235)
(0.819608, 0.819608, 0.819608)
(0.850980, 0.850980, 0.850980)
(0.878431, 0.878431, 0.878431)
(0.909804, 0.909804, 0.909804)
(0.937255, 0.937255, 0.937255)
(0.968627, 0.968627, 0.968627)
(1.000000, 1.000000, 1.000000)
(0.784314, 0.784314, 1.000000)
(0.749020, 0.749020, 0.960784)
(0.713725, 0.713725, 0.925490)
(0.784314, 0.784314, 0.784314)
(0.768627, 0.768627, 0.768627)
(0.756863, 0.756863, 0.756863)
(0.745098, 0.745098, 0.745098)
(0.729412, 0.729412, 0.729412)
(0.717647, 0.717647, 0.717647)
(0.705882, 0.705882, 0.705882)
(0.690196, 0.690196, 0.690196)
(0.678431, 0.678431, 0.678431)
(0.666667, 0.666667, 0.666667)
(0.650980, 0.650980, 0.650980)
(0.639216, 0.639216, 0.639216)
(0.627451, 0.627451, 0.627451)
(0.611765, 0.611765, 0.611765)
(0.600000, 0.600000, 0.600000)
(0.588235, 0.588235, 0.588235)
(0.572549, 0.572549, 0.572549)
(0.560784, 0.560784, 0.560784)
(0.549020, 0.549020, 0.549020)
(0.533333, 0.533333, 0.533333)
(0.521569, 0.521569, 0.521569)
(0.509804, 0.509804, 0.509804)
(0.498039, 0.498039, 0.498039)
(0.000000, 0.000000, 0.000000)
(0.474510, 0.474510, 0.474510)
(0.458824, 0.458824, 0.458824)
(0.447059, 0.447059, 0.447059)
(0.431373, 0.431373, 0.431373)
(0.419608, 0.419608, 0.419608)
(0.407843, 0.407843, 0.407843)
(0.392157, 0.392157, 0.392157)
(0.380392, 0.380392, 0.380392)
(0.368627, 0.368627, 0.368627)
(0.352941, 0.352941, 0.352941)
(0.341176, 0.341176, 0.341176)
(0.329412, 0.329412, 0.329412)
(0.313725, 0.313725, 0.313725)
(0.301961, 0.301961, 0.301961)
(0.290196, 0.290196, 0.290196)
(0.294118, 0.294118, 0.294118)
(0.301961, 0.301961, 0.301961)
(0.309804, 0.309804, 0.309804)
(0.317647, 0.317647, 0.317647)
(0.325490, 0.325490, 0.325490)
(0.333333, 0.333333, 0.333333)
(0.341176, 0.341176, 0.341176)
(0.349020, 0.349020, 0.349020)
(0.356863, 0.356863, 0.356863)
(0.364706, 0.364706, 0.364706)
(0.372549, 0.372549, 0.372549)
(0.380392, 0.380392, 0.380392)
(0.388235, 0.388235, 0.388235)
(0.396078, 0.396078, 0.396078)
(0.403922, 0.403922, 0.403922)
(0.411765, 0.411765, 0.411765)
(0.419608, 0.419608, 0.419608)
(0.427451, 0.427451, 0.427451)
(0.439216, 0.439216, 0.439216)
(0.447059, 0.447059, 0.447059)
(0.454902, 0.454902, 0.454902)
(0.462745, 0.462745, 0.462745)
(0.470588, 0.470588, 0.470588)
